AC,   Actual cost of the work completed. The sum of the costs incurred in accomplishing work.
Accept,"   Accepting an opportunity is being willing to take advantage of it if it occurs, but not taking action to pursue it."
Accept it,"   In some cases the conflict will outlive the life of the project and, though a distraction, it is one the manager has to live with."
Activity ,  Task (s) of the project that consumes time while people/equipment either work or wait.
Activity duration ,"  Estimate of time (hours, days, weeks, months, etc.) necessary to complete a project task."
Actual cost of the work completed (AC),   The sum of the cost incurred in accomplishing work. Previously this was called the actual cost of the work performed (ACWP). 
Actual cost of the work performed (ACWP),   Actual cost of the work performed in a given time period. The sum of the costs incurred in accomplishing work. 
Adjourning ,"  For conventional work groups, performing is the last stage of their development. However, for project teams, there is a completion phase. During this stage, the team prepares for its own disbandment. High performance is no longer a top priority, instead attention is devoted to wrapping up the project."
Agile Project Management (Agile PM),"   A family of incremental, iterative development methods for completing projects. "
Analysis ,"  Data are collected to record the project history, management performance, and lessons learned to improve future projects. Analysis examines in detail the underlying causes of problems, issues, and successes."
AOA,   Activity-on-arrow method for drawing project networks. The activity is shown as an arrow.
AON  , Activity-on-node method for drawing project networks. The activity is on the node (rectangle). 
Apportionment method ,"  Costs allocated to a specific segment of a project by using a percentage of planned total cost, for example, framing a house might use 25 percent of the total cost, or coding a teaching module 40 percent of total cost. "
Arbitrate the conflict ,  The manager imposes a solution to the conflict after listening to each party. The goal is not to decide who wins but to have the project win.
Assumptions,"   Assumptions are factors that, for planning purposes, are considered to be true, real, or certain without proof or demonstration."
Authority,"   The right to apply project resources, expend funds, make decisions, or give approvals."
Avoiding risk,   Elimination of the risk cause before the project begins.
Backward pass ,  The method used to compute the late start and finish times for each activity in the project network.
Balanced matrix ,  A matrix structure in which the project manager and functional managers share roughly equal authority over the project. The project manager decides what needs to be done functional managers are concerned with how it will be accomplished.
Balanced scorecard method ,"  Model that measures the long-run results of major program activities in four areas, customer, internal, innovation and learning, and financial. "
Bar Chart , A graphic presentation of project activities depicted as a time ?scaled bar line (also called a Gantt chart).
Baseline,"  A concrete document and commitment it represents the first real plan with cost, schedule, and resource allocation. The planned cost and schedule performance are used to measure actual cost and schedule performance. This serves as an anchor point for measuring performance."
BATNA,   Best alternative to negotiated agreement. Strong or weak BATNA indicates your power to negotiate with the other party. 
Bottom-up-estimates,   Detailed estimates of work packages usually made by those who are most familiar with the task (also called micro estimate).
Brainstorming ,  Generating as many ideas/solutions as possible without critical judgment. 
Bread and butter,   These typically involve evolutionary improvements to current products and services.
Budget at completion (BAC) ,  Budgeted cost at completion. The total budgeted cost of the baseline or project cost account. 
Budget reserve,   Reserve setup to cover identified risks that may occur and influence baseline tasks or costs. These reserves are typically controlled by the project manager and the project team. 
Budgeted cost of the work performed (BCWP) ,  The value for completed work measured in terms of the planned budget for the work. The earned value or original budgeted cost for work actually completed.
Build-own-operate-transfer (BOOT),"   A risk management provision in which the prime contractor not only builds the facility, but also takes over ownership until its operation capacity has been proven before final transfer of ownership to the client. "
Burst activity,   An activity that has more than one activity immediately following it.
Capability maturity model (CMM),   A framework which describes the evolutionary stages of project management systems. 
Change control ,"  The process of documenting, reviewing, accepting or rejecting change, and documenting any change to the project baseline."
Change management system ,  A defined process for authorizing and documenting changes in the scope of a project. 
Change request ," Requests to expand or reduce the project scope, modify policies, processes, plans, or procedures, modify costs or budgets, or revise schedules."
Changed priority,   Organizations? priorities often change and strategy shifts directions. The oversight group continually revises project selection priorities to reflect changes in organizational direction. 
Chart of accounts ,"   A hierarchical numbering system used to identify tasks, deliverables, and organizational responsibility in the work breakdown structure."
Close project or phase (process) ,  The process of finalizing all activities across all of the project management process groups to formally complete the project or phase.
Closing stage ,"  Closing includes three activities: delivering the project product to the customer, redeploying project resources, and post project review."
Co-location  , A situation in which project members including those from different organizations work together in the same location.
Communication plan,    A plan that defines information to be collected and distributed to stakeholders based on their requirements. 
Concurrent engineering or simultaneous engineering,"   Cross functional teamwork in new-product development projects that provides product design, quality engineering, and manufacturing process engineering all at the same time. "
Consensus decision making ,  Reaching a decision that all involved parties basically agree with and support. 
Contingency fund,    See contingency reserve
Contingency plan ,   A plan that covers possible identified project risks that may materialize over the life of the project.
Contingency reserve,   Usually an amount of money or time set aside to cover identified and unforeseen project risks. 
Contract,"  A formal agreement between two parties wherein one party (the contractor) obligates itself to perform a service and the other party (the client) obligates itself to do something in return, usually in the form of a payment to the contractor. "
Control,"   Comparing actual performance with planned performance, analyzing variances, assessing trends to effect process improvements, evaluating possible alternatives, and recommending appropriate corrective action as needed."
Control chart,  This tool is used to monitor past project schedule performance and current performance and to estimate future schedule trends.
Control the conflict,   Reducing the intensity of the conflict by smoothing over differences or interjecting humor is an effective strategy.
Cost account  ," A control point of one or more work packages used to plan, schedule, and control the project. The sum of all the project cost accounts represents the total cost of the project. "
Cost performance index (CPI) ,  The ratio of work performed to actual costs (EV/AC).
Cost-plus contract ,"  A contract in which the contractor is reimbursed for all direct allowable costs (materials, labor, travel) plus an additional fee to cover overhead and profit. "
Cost variance (CV) ,  The difference between EV and AC (CV=EV-AC). Tells if the work accomplished cost more or less than was planned at any point over the life of the project. 
Crash cost  ,  The direct cost of completing an activity in its crash time. 
Crash point ,  The most a project activity time can realistically be compressed with the resources available to the organization. 
Crashing ,Shortening an activity or project.
Crash time ,  The shortest time an activity can be completed (assuming a reasonable level of resources).
Critical path ,  The longest activity path (s) through the network. The critical path can be distinguished by identifying the collection of activities that all have the same minimum slack.
Critical path method (CPM) ,"  A scheduling method based on the estimates of time required to complete activities on the critical path. The method computes early, late, and slack times for each activity in the network. It establishes a planned project duration, if one is not imposed on the project. "
Culture  ,"  The totality of socially transmitted behavior patterns, beliefs, institutions, and all other products of human work and thought characteristic of a community or country."
Culture shock ,  A natural psychological disorientation that most people suffer when they move to a culture different from their own. 
Daily scrum meeting ,  A short status meeting held daily by each team during which the team members synchronize their work and progress as well as report any impediments for removal by the Scrum master. 
Dedicated project team ,  An organizational structure in which all of the resources needed to accomplish a project are assigned full time to the project.
Defining stage ,  Specifications of the project are defined project objectives are established teams are formed major responsibilities are assigned.
Deliverable  , A major product or result that must be finished to complete the project.
Delphi Technique,"A group method to predict future events e.g., time, cost."
Direct costs  ," Costs that are clearly charged to a specific work package, usually labor, materials, or equipment."
Dummy activity ,  An activity that does not consume time it is represented on the AOA network as a dashed line. A dummy activity is used to ensure a unique identification number for parallel activities and used to maintain dependencies among activities on the project network.
Duration (DUR),"   The time needed to complete an activity, a path, or a project."
Dysfunctional conflict ,  Disagreement that does not improve project performance.
EAC  , Estimated cost at completion.
Early finish (EF) ,  The earliest an activity can finish if all its preceding activities are finished by their early finish times (EF= ES + DUR).
Early start (ES)  , The earliest an activity can start. It is the largest early finish of all its immediate predecessors (ES = EF ? DUR).
Earned value (EV) ,  The physical work accomplished plus the authorized budget for this work. Previously this was called the budgeted cost of work performed (BCWP).
Eliminate the conflict ,  Sometimes the conflict has escalated to the point that it is no longer tolerable. In this case the manager removes the members involved from the project. 
Emotional intelligence (EQ) ,"  The ability or skill to perceive, assess, and manage the emotions of one?s self and others."
Enhance ,  Enhance is the opposite of mitigation in that action is taken to increase the probability and / or the positive impact of an opportunity.
Escalation ,  A control mechanism for resolving problems in which people at the lowest appropriate level attempt to resolve a problem within a set time limit or the problem is ?escalated? to the next level of management.
Estimated cost at completion (EAC)  ," The sum of actual costs to date plus revised estimated costs for the work remaining in the WBS. The text uses EACre to represent revisions made by experts and practitioners associated with the project. A second method is used in large projects where the original budget is less reliable. This method uses the actual costs to date plus an efficiency index (CPI = EV/AC) applied to the remaining project work. When the estimate for completion uses the CPI as the basis for forecasting cost at completion, we use the acronym EACf , where EACf = estimated costs at completion. Includes costs to date plus revised estimated costs for the work remaining (Uses formula to compute EAC)."
Estimate to complete (ETC) ,"  The expected cost needed to complete all the remaining work for a schedule activity, work breakdown structure component, or the project."
ETCf  ,  Estimated cost to complete (uses formula to compute estimates)
ETCre  , Estimated cost to complete (uses expert estimates) 
EV  , Earned value for a task is simply the percent complete times its original budget.
Event    ,A point in time when an activity (s) is started or completed. It does not consume time.
Execute  ," Directing, managing, performing, and accomplishing the project work, providing the deliverables, and providing work performance information."
Executing stage ,"  A major portion of project work takes place, both physical and mental."
Exploit  ,This tactic seeks to eliminate the uncertainty associated with an opportunity to ensure that it definitely happens.
Failed project,"   Failed projects are usually easy to identify and easy for a review group to close down. However, every effort should be made to communicate the technical (or other) reasons for termination of the project."
Failure mode and effects analysis (FMEA) ,"  Each potential risk is assessed in terms of severity of impact, probability of the event occurring, and ease of detection."
Fast tracking  ,  Accelerating project completion typically by rearranging the network schedule and using start-to-start lags.
Feature  , A piece of a product that delivers some useful functionality to a customer.
Finish-to-finish (FF),   The logical relationship where completion of work of the successor activity cannot finish until the completion of work of the predecessor activity.
Finish-to-start (FS), The logical relationship where initiation of work of the successor activity depends upon the completion of work of the predecessor activity. 
Firm-fixed-price (FPP) contract  ,"  A type of fixed price contract where the buyer pays the seller a set amount (as defined by the contract), regardless of the seller?s costs."
Fixed-price or ?lump sum? contract ,"  A contract in which the contractor agrees to perform all the work specified in the contract at a predetermined, fixed price."
Float ,  Also called slack.
Forecasted estimated cost to complete (ETCf) , Estimated total cost of a project based on CPI. Uses formula to compute estimates.
Forming ,  During the initial stage the members get acquainted with each other and understand the scope of the project. They begin to establish ground rules by trying to find out what behaviors are acceptable with respect to both the project and interpersonal relations.
