Agricultural and craft manufacturing period,"Economic period in the United States before the factory system began in the 1800s. Output was primarily agricultural, with some products produced by small craft shops. During this period there were limited money management techniques, analysis, and accounting."
Accelerated Cost Recovery System (ACRS),A depreciation method based on a schedule created by Congress in the early 1980s to replace previous accelerated methods such as SOYD and DB.
Accounting Equation,assets=Liabilities + Owners’ Equity + Revenue – Costs.
Accrual System,Recognizing sales and expense when they occur even though they are credit transactions.
Acquisition Costs,"The cost of purchasing material from an outside vendor, including negotiating, expediting, transportation, receiving, inspection. It can also be the cost of setup and changeover of equipment when the components are manufactured in-house."
Amortization,"reduction in value over time of intangible assets such as patents, copyrights, leasehold improvements, franchise rights, or other nonphysical assets. "
Annual Amount (A),Investments in or returns from an investment that occur at the end of each year of a project’s duration. Each amount is equal to other annual investments / returns. Also called Equal Annual Amount.
Annual Amount Method,Converting all project and investment costs and revenues to an annual basis for comparison with other annual costs.
Annual Operating Costs,The costs associated with a process other than initial and residual Salvage values.
"Annual Total Cost, AT","Determined by adding the equivalent annual cost of the initial investment, AP , to the annual operating costs, AO , and subtracting the annual equivalent value of the salvage value, As"
Appraisal Costs,"The cost of inspecting, testing, supplier audits, gauge control, and inspection equipment."
Appraised Value,The estimated market value of an asset.
Area Graph,"Plot of unit costs, revenue, and profit versus a specific quantity of output."
Asset,Something of value that is owned.
Asset-Intensive Firm,An organization with very high fixed costs with respect to variable costs.
Balance Sheet (B/S),This statement shows Assets equal to Liabilities plus Owners’ Equity at a point in time.
Baldrige Award,The Malcom Baldrige National Quality Award aearded annually to manufacturing and service organizations in the United States. The award recognizes both quality systems and economic performance with increased customer satisfaction.
Benefit/Cost Analysis (B/C),The summation of all revenues divided by the summation of analysis may or may not include TVM.
Book Value,The value of the asset determined by subtracting the accumulated depreciation expenses from the asset’s initial value.
Book Value,The current theoretical value of the asset as determined by calculating the first cost of the asset less the accumulated depreciation since the asset was purchased. Book value is the current value in accounting records and on the Balance Sheet.
Bottleneck,"Equipment or a step in a process that takes longer than the preceding and following activities so that inventory is accumulated as it waits to be completed. This results in high in-process inventories, low ROI, scheduling delays, and slower customer response times."
Brainstorming,"Collecting many unedited ideas from a group, representing different viewpoints, leading from an idea to another."
Brand: Borrowing by a corporation,"usually in increments of $1,000. A debt (rather than an ownership share) at the prevailing interest rate that is paid during the life of the debt. Principal is repaid at the end rather than during the bond’s life."
Breakeven (BE) Point,The point at which total costs equal total revenue.
Breakthrough Improvements,"Sudden improvements in products, services, and processes that result in financial benefits."
Capacity,"A measure of the maximum output an organization, department, or equipment can produce in a time period. It is usually fixed in the short term."
Capacity Imbalance,Also called bottlenecks or constrains. This occurs when components of a process produce at different rates and inventory accumulates because of the imbalance.
Capital Gains Tax,"Tax on the sale of assets and investments that are used as investments, not production and delivery of products and services."
Capitalizing,First recognizing expenditures as assets and then reducing them in value over time. The value reduction creates an expense on the Income Statement.
Cash Accounting System,Recording the financial event only when cash is received or disbursed.
Cash Flow Return on Investment (CFROI),The present value of future cash flow generated by a project or investment divided by the investment to generate the cash flow.
Cash Flow Statement,"This statement shows the receipts and disbursements to the cash account-the operating, investing, and financing flows."
Challenger,The new equipment that is “challenging” the existing equipment in terms of costs.
Common Stock,"Variable-dividend shares of a corporation that represent ownership in the corporation. The shareholder has voting authority proportional to the amount of shares owned. The shares may be, but are not required to be, repurchased by the corporation. "
Compound Interest,Interest earned on the principal and previous interest. 
